CD_EQUI,CD_LOCAL,CD_TEMA,DS_TEMA,CD_TP_EQUIPAMENTO,DS_TP_EQUIPAMENTO,CD_SUBTIPO_EQUIPAMENTO,DS_SUBTIPO_EQUIPAMENTO,CD_DEP_ADMINISTRATIVA,DS_DEP_ADMINISTRATIVA,NM_EQUI,NM_ABREV_EQUI,CD_FONTE,FONTE_FONTE,CD_RUA,NM_RUA,CD_RUANAOOFICIAL,NM_RUANAOOFICIAL,NUMERO_EQUI,COMPLEMENTO_EQUI,CD_BAIRRO,NM_BAIRRO,QUADRICULA_BQ,CD_REGIONAL,NM_REGIONAL,LAT_SIRGAS,LON_SIRGAS,FUNCIONAMENTO_MANHA_EQUI,FUNCIONAMENTO_TARDE_EQUI,FUNCIONAMENTO_NOITE_EQUI,FUNCIONAMENTO_24HRS_EQUI,TELEFONE_EQUI,RAMAL_EQUI,EMAIL_EQUI,SITE_EQUI,FAX_EQUI
4352,,4,PATRIMÔNIO HISTÓRICO EDIFICADO,27,Unidade de Interesse de Preservação,2,Arquitetura Eclética,2,Público Estadual,UNIÃO PARANAENSE DE ESTUDANTES,União Paranaense de Estudantes,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C026,R. PRES. CARLOS CAVALCANTI,,,1157,,2,SÃO FRANCISCO,J12,1,Matriz,-254 251 789 524 336,-492 762 940 143 815,0,0,0,0,,,,,
4353,,4,PATRIMÔNIO HISTÓRICO EDIFICADO,27,Unidade de Interesse de Preservação,2,Arquitetura Eclética,11,Particular,R. TREZE DE MAIO - 928,173,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C024,R. TREZE DE MAIO,,,928,,2,SÃO FRANCISCO,J12,1,Matriz,-254 260 333 968 124,-49 275 124 044 495,0,0,0,0,,,,,
4354,,4,PATRIMÔNIO HISTÓRICO EDIFICADO,27,Unidade de Interesse de Preservação,2,Arquitetura Eclética,11,Particular,R. TREZE DE MAIO - 940,174,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C024,R. TREZE DE MAIO,,,940,,2,SÃO FRANCISCO,J12,1,Matriz,-254 260 226 451 672,-492 752 247 573 541,0,0,0,0,,,,,
4355,,4,PATRIMÔNIO HISTÓRICO EDIFICADO,27,Unidade de Interesse de Preservação,2,Arquitetura Eclética,11,Particular,COLÉGIO MARTINUS - 999,Colégio Martinus,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C026,R. PRES. CARLOS CAVALCANTI,,,999,,2,SÃO FRANCISCO,J12,1,Matriz,-254 255 556 548 246,-492 743 347 041 671,0,0,0,0,,,,,
4357,,4,PATRIMÔNIO HISTÓRICO EDIFICADO,27,Unidade de Interesse de Preservação,2,Arquitetura Eclética,11,Particular,CLUBE CONCÓRDIA,Clube Concórdia,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C026,R. PRES. CARLOS CAVALCANTI,,,815,,2,SÃO FRANCISCO,J12,1,Matriz,-254 259 911 333 318,-492 729 164 840 062,0,0,0,0,,,,,
4358,,4,PATRIMÔNIO HISTÓRICO EDIFICADO,27,Unidade de Interesse de Preservação,2,Arquitetura Eclética,11,Particular,ANTIGO TEATRO HAUER,Antigo Teatro Hauer,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N008,R. MATEUS LEME,,,127,,2,SÃO FRANCISCO,J12,1,Matriz,-25 426 436 447 748,-492 718 898 337 425,0,0,0,0,,,,,
4359,,4,PATRIMÔNIO HISTÓRICO EDIFICADO,27,Unidade de Interesse de Preservação,2,Arquitetura Eclética,2,Público Estadual,R. TREZE DE MAIO - 644,168,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C024,R. TREZE DE MAIO,,,644,,2,SÃO FRANCISCO,J12,1,Matriz,-254 265 289 386 797,-492 723 969 339 025,0,0,0,0,,,,,
4360,,4,PATRIMÔNIO HISTÓRICO EDIFICADO,27,Unidade de Interesse de Preservação,2,Arquitetura Eclética,11,Particular,R. TREZE DE MAIO - 680,170,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C024,R. TREZE DE MAIO,,,680,,2,SÃO FRANCISCO,J12,1,Matriz,-254 264 907 914 463,-492 727 450 822 855,0,0,0,0,,,,,
4362,,4,PATRIMÔNIO HISTÓRICO EDIFICADO,27,Unidade de Interesse de Preservação,2,Arquitetura Eclética,11,Particular,R. TREZE DE MAIO - 568,165,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C024,R. TREZE DE MAIO,,,568,,2,SÃO FRANCISCO,J12,1,Matriz,-254 266 781 473 802,-492 716 375 330 159,0,0,0,0,,,,,
4363,,4,PATRIMÔNIO HISTÓRICO EDIFICADO,27,Unidade de Interesse de Preservação,2,Arquitetura Eclética,11,Particular,R. PRESIDENTE CARLOS CAVALCANTI - 669,45,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C026,R. PRES. CARLOS CAVALCANTI,,,669,,2,SÃO FRANCISCO,J12,1,Matriz,-254 259 829 882 473,-492 714 903 025 845,0,0,0,0,,,,,
